Year,Month,Period,Region,Country,OpCo Code,OpCo Name,BU,SC Function,Account,Account Description,Channel,AccDetail,Scenario,Currency,Amount
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PL_CP0000T,Channel Operating Profit,SC,F_CLO,Actual,USD,-6425.95
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PURCH_PAIRS,Purchase Pairs,SC,F_CLO,Budget,USD,424460
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PL_119001I,Turnover Supply Chain,SC,F_CLO,Budget,USD,4675855.77
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PL_119002I,Turnover Supply Chain - Markup,SC,F_CLO,Budget,USD,280551.35
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PL_219000T,COGS Supply Chain,SC,F_CLO,Budget,USD,-4675855.77
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PL_225000I,Freight Costs,SC,F_CLO,Budget,USD,-65461.98
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PL_224000I,PPV,SC,F_CLO,Budget,USD,9351.71
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PL_CH0001I,Personnel (channel),SC,F_CLO,Budget,USD,-84165.4
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PL_CH0002I,Selling & Handling (channel),SC,F_CLO,Budget,USD,-84165.4
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PL_CH0003I,General & Administration (channel),SC,F_CLO,Budget,USD,-42082.7
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PL_119000T,Net Turnover Supply Chain,SC,F_CLO,Budget,USD,4956407.11
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PL_200000T,Cost of Sales,SC,F_CLO,Budget,USD,-4731966.04
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PL_920000T,Total Gross Profit,SC,F_CLO,Budget,USD,224441.08
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PL_CH0000T,Channel Expenses,SC,F_CLO,Budget,USD,-210413.51
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PL_CP0000T,Channel Operating Profit,SC,F_CLO,Budget,USD,14027.57
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PURCH_PAIRS,Purchase Pairs,SC,F_CLO,Actual,USD,289746
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PL_119001I,Turnover Supply Chain,SC,F_CLO,Actual,USD,2238407.86
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PL_119002I,Turnover Supply Chain - Markup,SC,F_CLO,Actual,USD,115563.46
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PL_219000T,COGS Supply Chain,SC,F_CLO,Actual,USD,-2238407.86
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PL_225000I,Freight Costs,SC,F_CLO,Actual,USD,-10937.9
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PL_224000I,PPV,SC,F_CLO,Actual,USD,1247.27
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PL_CH0001I,Personnel (channel),SC,F_CLO,Actual,USD,-38031.63
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PL_CH0002I,Selling & Handling (channel),SC,F_CLO,Actual,USD,-38031.63
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PL_CH0003I,General & Administration (channel),SC,F_CLO,Actual,USD,-19015.81
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PL_119000T,Net Turnover Supply Chain,SC,F_CLO,Actual,USD,2353971.33
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PL_200000T,Cost of Sales,SC,F_CLO,Actual,USD,-2248098.49
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PL_920000T,Total Gross Profit,SC,F_CLO,Actual,USD,105872.84
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PL_CH0000T,Channel Expenses,SC,F_CLO,Actual,USD,-95079.07
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PL_CP0000T,Channel Operating Profit,SC,F_CLO,Actual,USD,10793.76
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PURCH_PAIRS,Purchase Pairs,SC,F_CLO,Budget,USD,293857
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PL_119001I,Turnover Supply Chain,SC,F_CLO,Budget,USD,2277981.01
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PL_119002I,Turnover Supply Chain - Markup,SC,F_CLO,Budget,USD,125288.96
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PL_219000T,COGS Supply Chain,SC,F_CLO,Budget,USD,-2277981.01
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PL_225000I,Freight Costs,SC,F_CLO,Budget,USD,-13667.89
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PL_224000I,PPV,SC,F_CLO,Budget,USD,4555.96
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PL_CH0001I,Personnel (channel),SC,F_CLO,Budget,USD,-41003.66
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PL_CH0002I,Selling & Handling (channel),SC,F_CLO,Budget,USD,-41003.66
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PL_CH0003I,General & Administration (channel),SC,F_CLO,Budget,USD,-20501.83
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PL_119000T,Net Turnover Supply Chain,SC,F_CLO,Budget,USD,2403269.97
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PL_200000T,Cost of Sales,SC,F_CLO,Budget,USD,-2287092.94
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PL_920000T,Total Gross Profit,SC,F_CLO,Budget,USD,116177.03
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PL_CH0000T,Channel Expenses,SC,F_CLO,Budget,USD,-102509.15
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Local Sourcing,PL_CP0000T,Channel Operating Profit,SC,F_CLO,Budget,USD,13667.89
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PROD_PAIRS,Production Pairs,SC,F_CLO,Actual,USD,516132
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_119001I,Turnover Supply Chain,SC,F_CLO,Actual,USD,3689896.55
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_119002I,Turnover Supply Chain - Markup,SC,F_CLO,Actual,USD,283427.45
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_219000T,COGS Supply Chain,SC,F_CLO,Actual,USD,-3689896.55
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_227100I,Factory Personnel,SC,F_CLO,Actual,USD,-155872.04
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_227200I,Other Factory costs,SC,F_CLO,Actual,USD,-172836.27
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_227600I,Recoveries of Factory,SC,F_CLO,Actual,USD,326715.9
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_225000I,Freight Costs,SC,F_CLO,Actual,USD,-32425.27
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_CH0001I,Personnel (channel),SC,F_CLO,Actual,USD,-54647.24
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_CH0002I,Selling & Handling (channel),SC,F_CLO,Actual,USD,-54647.24
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_CH0003I,General & Administration (channel),SC,F_CLO,Actual,USD,-27323.62
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_119000T,Net Turnover Supply Chain,SC,F_CLO,Actual,USD,3973324.0
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_227100T,Factory Costs,SC,F_CLO,Actual,USD,-328708.31
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_227000T,Factory (under)/over recovery,SC,F_CLO,Actual,USD,-1992.41
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_200000T,Cost of Sales,SC,F_CLO,Actual,USD,-3724314.22
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_920000T,Total Gross Profit,SC,F_CLO,Actual,USD,249009.78
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_CH0000T,Channel Expenses,SC,F_CLO,Actual,USD,-136618.11
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_CP0000T,Channel Operating Profit,SC,F_CLO,Actual,USD,112391.67
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PROD_PAIRS,Production Pairs,SC,F_CLO,Budget,USD,522413
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_119001I,Turnover Supply Chain,SC,F_CLO,Budget,USD,3623455.18
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_119002I,Turnover Supply Chain - Markup,SC,F_CLO,Budget,USD,253641.86
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_219000T,COGS Supply Chain,SC,F_CLO,Budget,USD,-3623455.18
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_227100I,Factory Personnel,SC,F_CLO,Budget,USD,-152185.12
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_227200I,Other Factory costs,SC,F_CLO,Budget,USD,-184796.21
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_227600I,Recoveries of Factory,SC,F_CLO,Budget,USD,333611.52
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_225000I,Freight Costs,SC,F_CLO,Budget,USD,-28987.64
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_CH0001I,Personnel (channel),SC,F_CLO,Budget,USD,-65222.19
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_CH0002I,Selling & Handling (channel),SC,F_CLO,Budget,USD,-65222.19
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_CH0003I,General & Administration (channel),SC,F_CLO,Budget,USD,-32611.1
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_119000T,Net Turnover Supply Chain,SC,F_CLO,Budget,USD,3877097.04
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_227100T,Factory Costs,SC,F_CLO,Budget,USD,-336981.33
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_227000T,Factory (under)/over recovery,SC,F_CLO,Budget,USD,-3369.81
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_200000T,Cost of Sales,SC,F_CLO,Budget,USD,-3655812.64
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_920000T,Total Gross Profit,SC,F_CLO,Budget,USD,221284.41
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_CH0000T,Channel Expenses,SC,F_CLO,Budget,USD,-163055.48
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Manufacturing,PL_CP0000T,Channel Operating Profit,SC,F_CLO,Budget,USD,58228.92
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PURCH_PAIRS,Purchase Pairs,SC,F_CLO,Actual,USD,324735
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PL_119001I,Turnover Supply Chain,SC,F_CLO,Actual,USD,4065150.23
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PL_119002I,Turnover Supply Chain - Markup,SC,F_CLO,Actual,USD,248242.48
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PL_219000T,COGS Supply Chain,SC,F_CLO,Actual,USD,-4065150.23
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PL_225000I,Freight Costs,SC,F_CLO,Actual,USD,-64392.73
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PL_224000I,PPV,SC,F_CLO,Actual,USD,-3756.31
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PL_CH0001I,Personnel (channel),SC,F_CLO,Actual,USD,-70711.67
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PL_CH0002I,Selling & Handling (channel),SC,F_CLO,Actual,USD,-70711.67
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PL_CH0003I,General & Administration (channel),SC,F_CLO,Actual,USD,-35355.84
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PL_119000T,Net Turnover Supply Chain,SC,F_CLO,Actual,USD,4313392.71
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PL_200000T,Cost of Sales,SC,F_CLO,Actual,USD,-4133299.28
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PL_920000T,Total Gross Profit,SC,F_CLO,Actual,USD,180093.44
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PL_CH0000T,Channel Expenses,SC,F_CLO,Actual,USD,-176779.19
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PL_CP0000T,Channel Operating Profit,SC,F_CLO,Actual,USD,3314.25
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PURCH_PAIRS,Purchase Pairs,SC,F_CLO,Budget,USD,326508
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PL_119001I,Turnover Supply Chain,SC,F_CLO,Budget,USD,4046413.64
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PL_119002I,Turnover Supply Chain - Markup,SC,F_CLO,Budget,USD,242784.82
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PL_219000T,COGS Supply Chain,SC,F_CLO,Budget,USD,-4046413.64
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PL_225000I,Freight Costs,SC,F_CLO,Budget,USD,-56649.79
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PL_224000I,PPV,SC,F_CLO,Budget,USD,8092.83
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PL_CH0001I,Personnel (channel),SC,F_CLO,Budget,USD,-72835.45
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PL_CH0002I,Selling & Handling (channel),SC,F_CLO,Budget,USD,-72835.45
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PL_CH0003I,General & Administration (channel),SC,F_CLO,Budget,USD,-36417.72
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PL_119000T,Net Turnover Supply Chain,SC,F_CLO,Budget,USD,4289198.46
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PL_200000T,Cost of Sales,SC,F_CLO,Budget,USD,-4094970.61
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PL_920000T,Total Gross Profit,SC,F_CLO,Budget,USD,194227.85
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PL_CH0000T,Channel Expenses,SC,F_CLO,Budget,USD,-182088.61
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Imports,PL_CP0000T,Channel Operating Profit,SC,F_CLO,Budget,USD,12139.24
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PURCH_PAIRS,Purchase Pairs,SC,F_CLO,Actual,USD,215608
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PL_119001I,Turnover Supply Chain,SC,F_CLO,Actual,USD,1857842.32
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PL_119002I,Turnover Supply Chain - Markup,SC,F_CLO,Actual,USD,108345.19
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PL_219000T,COGS Supply Chain,SC,F_CLO,Actual,USD,-1857842.32
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PL_225000I,Freight Costs,SC,F_CLO,Actual,USD,-13444.65
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PL_224000I,PPV,SC,F_CLO,Actual,USD,-5147.73
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PL_CH0001I,Personnel (channel),SC,F_CLO,Actual,USD,-34917.21
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PL_CH0002I,Selling & Handling (channel),SC,F_CLO,Actual,USD,-34917.21
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PL_CH0003I,General & Administration (channel),SC,F_CLO,Actual,USD,-17458.6
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PL_119000T,Net Turnover Supply Chain,SC,F_CLO,Actual,USD,1966187.51
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PL_200000T,Cost of Sales,SC,F_CLO,Actual,USD,-1876434.69
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PL_920000T,Total Gross Profit,SC,F_CLO,Actual,USD,89752.81
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PL_CH0000T,Channel Expenses,SC,F_CLO,Actual,USD,-87293.01
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PL_CP0000T,Channel Operating Profit,SC,F_CLO,Actual,USD,2459.8
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PURCH_PAIRS,Purchase Pairs,SC,F_CLO,Budget,USD,226044
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PL_119001I,Turnover Supply Chain,SC,F_CLO,Budget,USD,1971329.72
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PL_119002I,Turnover Supply Chain - Markup,SC,F_CLO,Budget,USD,108423.13
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PL_219000T,COGS Supply Chain,SC,F_CLO,Budget,USD,-1971329.72
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PL_225000I,Freight Costs,SC,F_CLO,Budget,USD,-11827.98
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PL_224000I,PPV,SC,F_CLO,Budget,USD,3942.66
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PL_CH0001I,Personnel (channel),SC,F_CLO,Budget,USD,-35483.94
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PL_CH0002I,Selling & Handling (channel),SC,F_CLO,Budget,USD,-35483.94
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PL_CH0003I,General & Administration (channel),SC,F_CLO,Budget,USD,-17741.97
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PL_119000T,Net Turnover Supply Chain,SC,F_CLO,Budget,USD,2079752.86
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PL_200000T,Cost of Sales,SC,F_CLO,Budget,USD,-1979215.04
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PL_920000T,Total Gross Profit,SC,F_CLO,Budget,USD,100537.82
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PL_CH0000T,Channel Expenses,SC,F_CLO,Budget,USD,-88709.84
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Local Sourcing,PL_CP0000T,Channel Operating Profit,SC,F_CLO,Budget,USD,11827.98
2026,8,202608,Asia-Pacific,Indonesia,ID01,Indonesia OpCo,XYZ Ltd,Manufacturing,PROD_PAIRS,Production Pairs,SC,F_CLO,Actual,USD,389729
