hs_code,description,bcd_rate,aidc_rate,health_cess_rate,fta_code,notification_no
03032600,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03032900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03033100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03033200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03033300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03033400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03033900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03034100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03034200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03034300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03034400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03034500,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03034600,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03034900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03035100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03035300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03035400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03035500,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03035600,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03035700,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03035910,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03035990,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03036300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03036400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03036500,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03036600,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03036700,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03036800,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03036900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03038110,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03038190,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03038200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03038300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03038400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03038910,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03038920,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03038930,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03038940,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03038950,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03038960,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03038970,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03038980,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03038990,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03039110,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03039190,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03039200,All goods,27.0,0.0,0.0,India-UK CETA,29/2026-Customs
03039910,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03039990,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03043100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03043200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03043300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03043900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03044100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03044200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03044300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03044400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03044500,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03044600,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03044700,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03044800,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03044910,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03044930,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03044940,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03044990,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03045100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03045200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03045300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03045400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03045500,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03045600,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03045700,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03045910,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03045930,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03045940,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03045990,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03046100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03046200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03046300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03046900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03047100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03047200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03047300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03047400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03047500,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03047900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03048100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03048200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03048300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03048400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03048500,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03048600,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03048700,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03048810,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03048820,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03048830,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03048910,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03048930,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03048940,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03048990,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03049100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03049200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03049300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03049400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03049500,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03049600,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03049700,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03049900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03052000,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03053100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03053200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03053900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03054100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03054200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03054300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03054400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03054900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03055100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03055200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03055300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03055400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03055910,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03055920,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03055930,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03055990,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03056100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03056200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03056300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03056400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03056910,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03056920,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03056930,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03056990,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03057100,All goods,27.0,0.0,0.0,India-UK CETA,29/2026-Customs
03057200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03057900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03061100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03061210,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03061290,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03061400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03061500,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03061610,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03061690,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03061711,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03061719,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03061720,All goods,27.0,0.0,0.0,India-UK CETA,29/2026-Customs
03061730,All goods,27.0,0.0,0.0,India-UK CETA,29/2026-Customs
03061740,All goods,27.0,0.0,0.0,India-UK CETA,29/2026-Customs
03061750,All goods,27.0,0.0,0.0,India-UK CETA,29/2026-Customs
03061790,All goods,27.0,0.0,0.0,India-UK CETA,29/2026-Customs
03061910,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03061990,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03063100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03063200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03063300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03063400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03063500,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03063610,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03063620,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03063630,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03063640,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03063650,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03063660,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03063690,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03063900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03069100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03069200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03069300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03069400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03069500,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03069900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03071100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03071200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03071900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03072100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03072200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03072900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03073100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03073200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03073910,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03073990,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03074210,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03074220,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03074310,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03074320,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03074330,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03074390,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03074910,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03074920,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03074930,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03074940,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03074990,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03075100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03075200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03075900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03076000,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03077100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03077200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03077900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03078100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03078200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03078300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03078400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03078700,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03078800,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03079100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03079200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03079900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03081100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03081200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03081900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03082100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03082200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03082900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03083010,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03083020,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03083090,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03089000,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03091010,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03091020,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03091030,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03091090,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03099011,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03099012,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03099013,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03099014,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03099019,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03099021,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03099022,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03099023,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03099024,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03099029,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03099031,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03099032,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03099033,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03099034,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03099039,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03099040,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03099050,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03099060,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03099070,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03099080,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03099090,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05021010,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05021020,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05029010,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05029020,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05029090,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05040020,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05040031,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05040039,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05040041,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05040049,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05040051,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05040059,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05051090,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05059029,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05059039,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05059091,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05059099,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05061019,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05061029,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05061039,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05061049,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05069019,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05069099,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05079010,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05079020,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05079030,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05079050,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05080010,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05100010,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05100020,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05100099,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05111000,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05119140,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05119190,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
051199,Artemia,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05119929,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
05119991,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
06011000,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
06012010,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
06012021,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
06012022,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
06012090,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
06021000,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
06022010,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
06022020,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
06022090,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
06023000,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
