Billing Document,Billing Date,Document Type,Company Code,Sales Organization,Distribution Channel,Division,Sold-to Party Name,Payer,Country Key,Material Description,Net Value,Currency,Reference Sales Order,Fiscal Year Period,Created By,Created On
1800000026,2024-04-24,F2,NL01,NL01,10,00,Smith and Co Industrial Ltd,Smith and Co Industrial Ltd,United Kingdom,Electric Motor EM-750,13955.96,EUR,SO-1462408,2024/04,S.BAKKER,2024-04-24
1800000028,2025-02-24,F2,NL01,NL01,10,00,Van Damme Trading NV,Van Damme Trading NV,Belgium,Conveyor Belt System CB-12,16500.0,EUR,SO-7134891,2025/02,BATCHJOB,2025-02-24
1800000029,2024-12-20,F2,NL01,NL01,10,00,Van Damme Trading NV,Van Damme Trading NV,Belgium,PLC Programming Unit,7523.24,EUR,SO-5204237,2024/12,R.JANSSEN,2024-12-20
1800000030,2024-04-22,F2,NL01,NL01,10,00,Meijer Energie B.V.,Meijer Energie B.V.,Netherlands,Automation Controller Pro,1771.09,EUR,SO-4630885,2024/04,BATCHJOB,2024-04-22
1800000031,2025-01-09,F2,NL01,NL01,30,00,Kuipers Machinefabriek B.V.,Kuipers Machinefabriek B.V.,Netherlands,Standard Spare Parts Bundle,3371.53,EUR,SO-8815125,2025/01,M.DEVRIES,2025-01-09
1800000033,2024-12-06,F2,NL01,NL01,10,00,Hendriks Metaalbewerking B.V.,Hendriks Metaalbewerking B.V.,Netherlands,Electric Motor EM-750,8789.62,EUR,SO-6339651,2024/12,R.JANSSEN,2024-12-06
1800000034,2025-03-19,F2,NL01,NL01,20,00,Global Tech Solutions Inc,Global Tech Solutions Inc,United States,Technical Training Package,3553.92,EUR,SO-2352163,2025/03,BATCHJOB,2025-03-19
1800000036,2025-01-29,F2,NL01,NL01,10,00,Kuipers Machinefabriek B.V.,Kuipers Machinefabriek B.V.,Netherlands,Conveyor Belt System CB-12,17021.36,EUR,SO-5985595,2025/01,S.BAKKER,2025-01-29
1800000038,2025-01-13,F2,NL01,NL01,10,00,Amsterdam Tech Solutions B.V.,Amsterdam Tech Solutions B.V.,Netherlands,PLC Programming Unit,23576.47,EUR,SO-5362850,2025/01,S.BAKKER,2025-01-13
1800000039,2024-09-10,F2,NL01,NL01,10,00,Kuipers Machinefabriek B.V.,Kuipers Machinefabriek B.V.,Netherlands,Sensor Calibration Kit,12869.39,EUR,SO-9299190,2024/09,A.KOK,2024-09-10
1800000041,2024-10-25,F2,NL01,NL01,10,00,Hendriks Metaalbewerking B.V.,Hendriks Metaalbewerking B.V.,Netherlands,Industrial Network Switch NS-24,32500.0,EUR,SO-3550874,2024/10,R.JANSSEN,2024-10-25
1800000043,2025-03-11,F2,NL01,NL01,10,00,Kuipers Machinefabriek B.V.,Kuipers Machinefabriek B.V.,Netherlands,PLC Programming Unit,3427.9,EUR,SO-8581306,2025/03,R.JANSSEN,2025-03-11
1800000044,2024-04-18,F2,NL01,NL01,10,00,Muller Industrietechnik GmbH,Muller Industrietechnik GmbH,Germany,Custom Integration Services,9429.26,EUR,SO-5139560,2024/04,BATCHJOB,2024-04-18
1800000045,2024-12-05,F2,NL01,NL01,20,00,Smit Engineering B.V.,Smit Engineering B.V.,Netherlands,Conveyor Belt System CB-12,17888.23,EUR,SO-2074041,2024/12,M.DEVRIES,2024-12-05
1800000046,2025-02-04,F2,NL01,NL01,10,00,Hendriks Metaalbewerking B.V.,Hendriks Metaalbewerking B.V.,Netherlands,Hydraulic Pump Unit HP-450,15916.21,EUR,SO-6681818,2025/02,S.BAKKER,2025-02-04
1800000048,2024-10-18,F2,NL01,NL01,10,00,Rotterdam Haven Diensten B.V.,Rotterdam Haven Diensten B.V.,Netherlands,Data Migration Services,5100.02,EUR,SO-8453891,2024/10,A.KOK,2024-10-18
1800000049,2024-09-26,F2,NL01,NL01,20,00,De Boer Industrial N.V.,De Boer Industrial N.V.,Netherlands,Annual Maintenance Contract,23673.59,EUR,SO-6473986,2024/09,A.KOK,2024-09-26
1800000051,2025-02-11,F2,NL01,NL01,10,00,De Boer Industrial N.V.,De Boer Industrial N.V.,Netherlands,Analytics Suite License (Annual),21552.82,EUR,SO-9110664,2025/02,S.BAKKER,2025-02-11
1800000052,2025-01-14,F2,NL01,NL01,30,00,Dekker IT Solutions B.V.,Dekker IT Solutions B.V.,Netherlands,Annual Maintenance Contract,5364.75,EUR,SO-2094140,2025/01,S.BAKKER,2025-01-14
1800000053,2025-03-22,F2,NL01,NL01,30,00,Visser Machinebouw B.V.,Visser Machinebouw B.V.,Netherlands,Industrial Sensor Module X200,23388.92,EUR,SO-1904845,2025/03,S.BAKKER,2025-03-22
1800000054,2024-08-08,F2,NL01,NL01,10,00,Van der Berg Logistiek B.V.,Van der Berg Logistiek B.V.,Netherlands,Sensor Calibration Kit,9634.05,EUR,SO-5431875,2024/08,A.KOK,2024-08-08
1800000055,2025-01-31,F2,NL01,NL01,30,00,Visser Machinebouw B.V.,Visser Machinebouw B.V.,Netherlands,Analytics Suite License (Annual),11835.83,EUR,SO-5567414,2025/01,S.BAKKER,2025-01-31
1800000056,2024-10-18,F2,NL01,NL01,10,00,Verhoeven Technische Handel B.V.,Verhoeven Technische Handel B.V.,Netherlands,Analytics Suite License (Annual),16843.53,EUR,SO-3911391,2024/10,A.KOK,2024-10-18
1800000057,2024-11-06,F2,NL01,NL01,20,00,Verhoeven Technische Handel B.V.,Verhoeven Technische Handel B.V.,Netherlands,Annual Maintenance Contract,15193.83,EUR,SO-9695416,2024/11,M.DEVRIES,2024-11-06
1800000058,2024-04-24,F2,NL01,NL01,20,00,Kok Software B.V.,Kok Software B.V.,Netherlands,Support Retainer Services,14687.17,EUR,SO-2439200,2024/04,A.KOK,2024-04-24
1800000059,2024-05-15,F2,NL01,NL01,20,00,Hendriks Metaalbewerking B.V.,Hendriks Metaalbewerking B.V.,Netherlands,Industrial Sensor Module X200,17709.86,EUR,SO-9217965,2024/05,R.JANSSEN,2024-05-15
1800000061,2024-04-04,F2,NL01,NL01,10,00,Dekker IT Solutions B.V.,Dekker IT Solutions B.V.,Netherlands,Custom Integration Services,6673.09,EUR,SO-3257198,2024/04,R.JANSSEN,2024-04-04
1800000062,2024-08-20,G2,NL01,NL01,20,00,Hendriks Metaalbewerking B.V.,Hendriks Metaalbewerking B.V.,Netherlands,Electric Motor EM-750,-5178.11,EUR,SO-9451124,2024/08,M.DEVRIES,2024-08-20
1800000063,2024-11-26,F2,NL01,NL01,10,00,Schneider Maschinenbau GmbH,Schneider Maschinenbau GmbH,Germany,Implementation Consulting Services,6637.76,EUR,SO-1019337,2024/11,A.KOK,2024-11-26
1800000064,2025-01-26,F2,NL01,NL01,10,00,Timmermans Bouw B.V.,Timmermans Bouw B.V.,Netherlands,Safety System Upgrade Kit,6524.4,EUR,SO-3669005,2025/01,S.BAKKER,2025-01-26
1800000065,2024-05-01,F2,NL01,NL01,10,00,Hendriks Metaalbewerking B.V.,Hendriks Metaalbewerking B.V.,Netherlands,Sensor Calibration Kit,12201.8,EUR,SO-1944815,2024/05,BATCHJOB,2024-05-01
1800000066,2024-08-30,F2,NL01,NL01,10,00,Hendriks Metaalbewerking B.V.,Hendriks Metaalbewerking B.V.,Netherlands,Data Migration Services,9500.0,EUR,SO-5109105,2024/08,R.JANSSEN,2024-08-30
1800000068,2024-10-03,F2,NL01,NL01,10,00,Post Digitale Diensten B.V.,Post Digitale Diensten B.V.,Netherlands,Electric Motor EM-750,8719.54,EUR,SO-5165208,2024/10,BATCHJOB,2024-10-03
1800000069,2025-02-05,F2,NL01,NL01,20,00,Van der Berg Logistiek B.V.,Van der Berg Logistiek B.V.,Netherlands,PLC Programming Unit,21310.78,EUR,SO-9461148,2025/02,M.DEVRIES,2025-02-05
1800000071,2024-05-14,F2,NL01,NL01,20,00,Meijer Energie B.V.,Meijer Energie B.V.,Netherlands,ERP Connector License (Annual),8567.97,EUR,SO-2808203,2024/05,S.BAKKER,2024-05-14
1800000072,2024-04-11,F2,NL01,NL01,10,00,Peters Automatisering B.V.,Peters Automatisering B.V.,Netherlands,Conveyor Belt System CB-12,30708.7,EUR,SO-5153922,2024/04,A.KOK,2024-04-11
1800000073,2024-09-09,G2,NL01,NL01,10,00,Dekker IT Solutions B.V.,Dekker IT Solutions B.V.,Netherlands,Technical Training Package,-1950.0,EUR,SO-6283709,2024/09,R.JANSSEN,2024-09-09
1800000075,2024-12-20,F2,NL01,NL01,30,00,Dekker IT Solutions B.V.,Dekker IT Solutions B.V.,Netherlands,Support Retainer Services,43766.0,EUR,SO-8586944,2024/12,R.JANSSEN,2024-12-20
1800000077,2024-08-09,F2,NL01,NL01,30,00,Hendriks Metaalbewerking B.V.,Hendriks Metaalbewerking B.V.,Netherlands,Warehouse Management Module,5206.0,EUR,SO-3565118,2024/08,R.JANSSEN,2024-08-09
1800000078,2024-09-21,F2,NL01,NL01,20,00,De Boer Industrial N.V.,De Boer Industrial N.V.,Netherlands,Cloud Hosting Subscription (Annual),6487.34,EUR,SO-4798397,2024/09,S.BAKKER,2024-09-21
1800000080,2024-05-15,F2,NL01,NL01,10,00,Bakker Elektronica B.V.,Bakker Elektronica B.V.,Netherlands,Analytics Suite License (Annual),19731.32,EUR,SO-4304858,2024/05,M.DEVRIES,2024-05-15
1800000082,2025-01-27,F2,NL01,NL01,10,00,Van der Berg Logistiek B.V.,Van der Berg Logistiek B.V.,Netherlands,Electric Motor EM-750,8610.24,EUR,SO-6643915,2025/01,M.DEVRIES,2025-01-27
1800000083,2025-02-05,G2,NL01,NL01,20,00,Hendriks Metaalbewerking B.V.,Hendriks Metaalbewerking B.V.,Netherlands,Cloud Hosting Subscription (Annual),-6608.15,EUR,SO-3291999,2025/02,M.DEVRIES,2025-02-05
1800000084,2025-03-03,F2,NL01,NL01,10,00,Dekker IT Solutions B.V.,Dekker IT Solutions B.V.,Netherlands,PLC Programming Unit,17150.37,EUR,SO-7816318,2025/03,M.DEVRIES,2025-03-03
1800000085,2025-03-28,F2,NL01,NL01,20,00,Van den Berg Retail Group B.V.,Van den Berg Retail Group B.V.,Netherlands,Support Retainer Services,6974.56,EUR,SO-4898425,2025/03,R.JANSSEN,2025-03-28
1800000087,2024-08-20,F2,NL01,NL01,10,00,Groenendijk Handel B.V.,Groenendijk Handel B.V.,Netherlands,Analytics Suite License (Annual),22500.0,EUR,SO-5987831,2024/08,S.BAKKER,2024-08-20
1800000088,2024-06-05,F2,NL01,NL01,10,00,Kuipers Machinefabriek B.V.,Kuipers Machinefabriek B.V.,Netherlands,PLC Programming Unit,2673.12,EUR,SO-2475325,2024/06,S.BAKKER,2024-06-05
1800000090,2025-03-12,F2,NL01,NL01,10,00,Hendriks Metaalbewerking B.V.,Hendriks Metaalbewerking B.V.,Netherlands,Custom Integration Services,12933.11,EUR,SO-2053867,2025/03,S.BAKKER,2025-03-12
1800000092,2024-05-13,F2,NL01,NL01,30,00,Van der Heijden Supply Chain B.V.,Van der Heijden Supply Chain B.V.,Netherlands,Conveyor Belt System CB-12,1547.15,EUR,SO-6192497,2024/05,A.KOK,2024-05-13
1800000094,2025-01-26,F2,NL01,NL01,10,00,Hendriks Metaalbewerking B.V.,Hendriks Metaalbewerking B.V.,Netherlands,Safety System Upgrade Kit,9554.59,EUR,SO-7471780,2025/01,S.BAKKER,2025-01-26
1800000095,2024-04-01,F2,NL01,NL01,20,00,Verhoeven Technische Handel B.V.,Verhoeven Technische Handel B.V.,Netherlands,Data Migration Services,11750.49,EUR,SO-5129373,2024/04,A.KOK,2024-04-01
1800000096,2024-07-08,F2,NL01,NL01,20,00,Amsterdam Tech Solutions B.V.,Amsterdam Tech Solutions B.V.,Netherlands,Electric Motor EM-750,18182.36,EUR,SO-6672807,2024/07,R.JANSSEN,2024-07-08
1800000097,2024-05-16,G2,NL01,NL01,20,00,Rotterdam Haven Diensten B.V.,Rotterdam Haven Diensten B.V.,Netherlands,Sensor Calibration Kit,-2716.73,EUR,SO-9743323,2024/05,S.BAKKER,2024-05-16
1800000098,2025-02-19,F2,NL01,NL01,10,00,Hendriks Metaalbewerking B.V.,Hendriks Metaalbewerking B.V.,Netherlands,Analytics Suite License (Annual),8977.12,EUR,SO-5752380,2025/02,BATCHJOB,2025-02-19
1800000099,2024-05-02,F2,NL01,NL01,10,00,Schneider Maschinenbau GmbH,Schneider Maschinenbau GmbH,Germany,Analytics Suite License (Annual),683.08,EUR,SO-5624140,2024/05,S.BAKKER,2024-05-02
1800000101,2024-05-28,F2,NL01,NL01,10,00,Meijer Energie B.V.,Meijer Energie B.V.,Netherlands,Cloud Hosting Subscription (Annual),6017.51,EUR,SO-8032324,2024/05,R.JANSSEN,2024-05-28
1800000102,2024-05-09,F2,NL01,NL01,20,00,Dekker IT Solutions B.V.,Dekker IT Solutions B.V.,Netherlands,Support Retainer Services,10033.5,EUR,SO-1039232,2024/05,A.KOK,2024-05-09
1800000104,2024-10-03,F2,NL01,NL01,10,00,Brouwer Data Systems B.V.,Brouwer Data Systems B.V.,Netherlands,Industrial Sensor Module X200,23868.83,EUR,SO-6882663,2024/10,R.JANSSEN,2024-10-03
1800000105,2024-06-26,F2,NL01,NL01,20,00,Meijer Energie B.V.,Meijer Energie B.V.,Netherlands,Automation Controller Pro,28801.88,EUR,SO-1734288,2024/06,M.DEVRIES,2024-06-26
1800000107,2024-04-24,F2,NL01,NL01,20,00,Timmermans Bouw B.V.,Timmermans Bouw B.V.,Netherlands,Safety System Upgrade Kit,6788.96,EUR,SO-7985944,2024/04,A.KOK,2024-04-24
1800000109,2024-12-05,F2,NL01,NL01,10,00,Schneider Maschinenbau GmbH,Schneider Maschinenbau GmbH,Germany,Standard Spare Parts Bundle,31572.38,EUR,SO-6804195,2024/12,BATCHJOB,2024-12-05
1800000111,2024-04-15,F2,NL01,NL01,10,00,Van der Berg Logistiek B.V.,Van der Berg Logistiek B.V.,Netherlands,Analytics Suite License (Annual),11243.0,EUR,SO-8898038,2024/04,BATCHJOB,2024-04-15
1800000113,2024-08-16,F2,NL01,NL01,20,00,Rotterdam Haven Diensten B.V.,Rotterdam Haven Diensten B.V.,Netherlands,Automation Controller Pro,10951.02,EUR,SO-3999688,2024/08,R.JANSSEN,2024-08-16
1800000115,2024-05-23,F2,NL01,NL01,10,00,Hendriks Metaalbewerking B.V.,Hendriks Metaalbewerking B.V.,Netherlands,Annual Maintenance Contract,10082.14,EUR,SO-9110023,2024/05,M.DEVRIES,2024-05-23
1800000116,2025-01-02,F2,NL01,NL01,10,00,Kuipers Machinefabriek B.V.,Kuipers Machinefabriek B.V.,Netherlands,Automation Controller Pro,36000.0,EUR,SO-8044194,2025/01,M.DEVRIES,2025-01-02
1800000117,2024-04-05,F2,NL01,NL01,30,00,Van den Berg Retail Group B.V.,Van den Berg Retail Group B.V.,Netherlands,Electric Motor EM-750,8048.92,EUR,SO-2742424,2024/04,S.BAKKER,2024-04-05
1800000118,2025-02-14,F2,NL01,NL01,10,00,Rotterdam Haven Diensten B.V.,Rotterdam Haven Diensten B.V.,Netherlands,ERP Connector License (Annual),10646.73,EUR,SO-3251072,2025/02,M.DEVRIES,2025-02-14
1800000119,2024-09-27,F2,NL01,NL01,10,00,Dekker IT Solutions B.V.,Dekker IT Solutions B.V.,Netherlands,Data Migration Services,13380.71,EUR,SO-9730701,2024/09,R.JANSSEN,2024-09-27
1800000121,2025-01-01,F2,NL01,NL01,10,00,Schouten Productie B.V.,Schouten Productie B.V.,Netherlands,Technical Training Package,17966.8,EUR,SO-9188161,2025/01,S.BAKKER,2025-01-01
1800000122,2025-02-24,F2,NL01,NL01,10,00,Utrecht Systemen B.V.,Utrecht Systemen B.V.,Netherlands,Conveyor Belt System CB-12,3632.55,EUR,SO-5239177,2025/02,M.DEVRIES,2025-02-24
1800000124,2025-02-26,F2,NL01,NL01,10,00,De Boer Industrial N.V.,De Boer Industrial N.V.,Netherlands,Automation Controller Pro,16064.95,EUR,SO-2743956,2025/02,S.BAKKER,2025-02-26
1800000126,2024-10-21,F2,NL01,NL01,10,00,De Groot Handelsonderneming B.V.,De Groot Handelsonderneming B.V.,Netherlands,Cloud Hosting Subscription (Annual),9787.54,EUR,SO-8969210,2024/10,BATCHJOB,2024-10-21
1800000128,2024-10-15,F2,NL01,NL01,10,00,De Boer Industrial N.V.,De Boer Industrial N.V.,Netherlands,PLC Programming Unit,12763.03,EUR,SO-1437498,2024/10,S.BAKKER,2024-10-15
1800000129,2024-05-02,F2,NL01,NL01,10,00,Rotterdam Haven Diensten B.V.,Rotterdam Haven Diensten B.V.,Netherlands,Industrial Network Switch NS-24,6037.77,EUR,SO-8363161,2024/05,S.BAKKER,2024-05-02
1800000131,2025-01-01,F2,NL01,NL01,10,00,De Groot Handelsonderneming B.V.,De Groot Handelsonderneming B.V.,Netherlands,Standard Spare Parts Bundle,7272.22,EUR,SO-6796167,2025/01,A.KOK,2025-01-01
1800000133,2025-02-19,F2,NL01,NL01,30,00,Martens Industrieel B.V.,Martens Industrieel B.V.,Netherlands,Automation Controller Pro,8821.53,EUR,SO-1304447,2025/02,R.JANSSEN,2025-02-19
1800000134,2025-02-11,F2,NL01,NL01,10,00,Hofman Electro B.V.,Hofman Electro B.V.,Netherlands,Standard Spare Parts Bundle,21000.0,EUR,SO-6254935,2025/02,M.DEVRIES,2025-02-11
1800000136,2024-10-24,F2,NL01,NL01,20,00,Hendriks Metaalbewerking B.V.,Hendriks Metaalbewerking B.V.,Netherlands,Standard Spare Parts Bundle,4579.33,EUR,SO-9542576,2024/10,R.JANSSEN,2024-10-24
1800000138,2025-03-22,F2,NL01,NL01,10,00,Timmermans Bouw B.V.,Timmermans Bouw B.V.,Netherlands,Industrial Network Switch NS-24,18088.03,EUR,SO-8748723,2025/03,R.JANSSEN,2025-03-22
1800000140,2024-11-05,F2,NL01,NL01,10,00,Amsterdam Tech Solutions B.V.,Amsterdam Tech Solutions B.V.,Netherlands,Sensor Calibration Kit,6630.45,EUR,SO-3076911,2024/11,R.JANSSEN,2024-11-05
1800000141,2024-11-14,F2,NL01,NL01,30,00,Van der Berg Logistiek B.V.,Van der Berg Logistiek B.V.,Netherlands,Industrial Network Switch NS-24,17610.77,EUR,SO-7862501,2024/11,S.BAKKER,2024-11-14
1800000142,2024-05-13,F2,NL01,NL01,20,00,Meijer Energie B.V.,Meijer Energie B.V.,Netherlands,Industrial Network Switch NS-24,67324.42,EUR,SO-2042165,2024/05,A.KOK,2024-05-13
1800000143,2024-04-16,F2,NL01,NL01,10,00,Van der Heijden Supply Chain B.V.,Van der Heijden Supply Chain B.V.,Netherlands,Electric Motor EM-750,3710.87,EUR,SO-5992807,2024/04,M.DEVRIES,2024-04-16
1800000145,2025-03-12,F2,NL01,NL01,20,00,Utrecht Systemen B.V.,Utrecht Systemen B.V.,Netherlands,Custom Integration Services,4813.78,EUR,SO-6106057,2025/03,S.BAKKER,2025-03-12
1800000146,2024-04-10,F2,NL01,NL01,10,00,Van den Berg Retail Group B.V.,Van den Berg Retail Group B.V.,Netherlands,Data Migration Services,12013.16,EUR,SO-3936165,2024/04,A.KOK,2024-04-10
1800000148,2024-04-24,F2,NL01,NL01,10,00,De Groot Handelsonderneming B.V.,De Groot Handelsonderneming B.V.,Netherlands,Support Retainer Services,44765.48,EUR,SO-9031571,2024/04,A.KOK,2024-04-24
1800000149,2024-11-22,F2,NL01,NL01,30,00,Hendriks Metaalbewerking B.V.,Hendriks Metaalbewerking B.V.,Netherlands,ERP Connector License (Annual),18111.71,EUR,SO-5807481,2024/11,M.DEVRIES,2024-11-22
1800000150,2024-06-11,F2,NL01,NL01,20,00,Verhoeven Technische Handel B.V.,Verhoeven Technische Handel B.V.,Netherlands,Technical Training Package,31767.87,EUR,SO-9983072,2024/06,S.BAKKER,2024-06-11
1800000151,2025-01-29,F2,NL01,NL01,20,00,De Groot Handelsonderneming B.V.,De Groot Handelsonderneming B.V.,Netherlands,Custom Integration Services,15178.13,EUR,SO-3260324,2025/01,A.KOK,2025-01-29
1800000153,2025-03-31,F2,NL01,NL01,10,00,Van der Linden Advies B.V.,Van der Linden Advies B.V.,Netherlands,Electric Motor EM-750,11899.77,EUR,SO-2921865,2025/03,S.BAKKER,2025-03-31
1800000154,2025-02-21,F2,NL01,NL01,10,00,Kuipers Machinefabriek B.V.,Kuipers Machinefabriek B.V.,Netherlands,Implementation Consulting Services,21670.28,EUR,SO-3672203,2025/02,M.DEVRIES,2025-02-21
1800000156,2025-03-24,F2,NL01,NL01,10,00,Willemsen Innovatie B.V.,Willemsen Innovatie B.V.,Netherlands,Industrial Sensor Module X200,28000.0,EUR,SO-5076697,2025/03,M.DEVRIES,2025-03-24
1800000158,2024-04-24,F2,NL01,NL01,10,00,Van den Berg Retail Group B.V.,Van den Berg Retail Group B.V.,Netherlands,Sensor Calibration Kit,31012.16,EUR,SO-9670403,2024/04,BATCHJOB,2024-04-24
1800000160,2024-06-11,F2,NL01,NL01,10,00,Hendriks Metaalbewerking B.V.,Hendriks Metaalbewerking B.V.,Netherlands,Standard Spare Parts Bundle,23955.97,EUR,SO-4140401,2024/06,BATCHJOB,2024-06-11
1800000162,2024-11-12,F2,NL01,NL01,10,00,Kuipers Machinefabriek B.V.,Kuipers Machinefabriek B.V.,Netherlands,Standard Spare Parts Bundle,13000.0,EUR,SO-8404335,2024/11,BATCHJOB,2024-11-12
1800000164,2024-10-09,F2,NL01,NL01,10,00,Dekker IT Solutions B.V.,Dekker IT Solutions B.V.,Netherlands,Industrial Network Switch NS-24,5025.36,EUR,SO-4250120,2024/10,S.BAKKER,2024-10-09
1800000165,2025-03-10,F2,NL01,NL01,10,00,Hendriks Metaalbewerking B.V.,Hendriks Metaalbewerking B.V.,Netherlands,Automation Controller Pro,1486.58,EUR,SO-3645021,2025/03,A.KOK,2025-03-10
1800000166,2024-04-16,F2,NL01,NL01,10,00,Peters Automatisering B.V.,Peters Automatisering B.V.,Netherlands,Annual Maintenance Contract,4647.19,EUR,SO-7329334,2024/04,M.DEVRIES,2024-04-16
1800000168,2024-05-21,F2,NL01,NL01,10,00,Dekker IT Solutions B.V.,Dekker IT Solutions B.V.,Netherlands,Implementation Consulting Services,2726.0,EUR,SO-1300706,2024/05,M.DEVRIES,2024-05-21
1800000170,2025-02-06,F2,NL01,NL01,10,00,Martens Industrieel B.V.,Martens Industrieel B.V.,Netherlands,Automation Controller Pro,23225.04,EUR,SO-6994270,2025/02,S.BAKKER,2025-02-06
1800000172,2024-10-07,F2,NL01,NL01,20,00,Vermeulen Logistics B.V.,Vermeulen Logistics B.V.,Netherlands,Annual Maintenance Contract,34242.27,EUR,SO-6714988,2024/10,A.KOK,2024-10-07
1800000174,2024-06-13,G2,NL01,NL01,20,00,Vermeulen Logistics B.V.,Vermeulen Logistics B.V.,Netherlands,Data Migration Services,-1455.77,EUR,SO-3939212,2024/06,BATCHJOB,2024-06-13
1800000176,2024-05-28,F2,NL01,NL01,10,00,Hendriks Metaalbewerking B.V.,Hendriks Metaalbewerking B.V.,Netherlands,Industrial Sensor Module X200,15110.97,EUR,SO-9554005,2024/05,M.DEVRIES,2024-05-28
1800000178,2024-10-14,F2,NL01,NL01,10,00,Willemsen Innovatie B.V.,Willemsen Innovatie B.V.,Netherlands,ERP Connector License (Annual),13737.99,EUR,SO-7675017,2024/10,M.DEVRIES,2024-10-14
1800000179,2024-12-15,F2,NL01,NL01,10,00,De Wit Consultancy B.V.,De Wit Consultancy B.V.,Netherlands,Data Migration Services,42239.96,EUR,SO-8179632,2024/12,S.BAKKER,2024-12-15
1800000180,2024-04-17,F2,NL01,NL01,10,00,Duval Distribution SARL,Duval Distribution SARL,France,Support Retainer Services,12197.92,EUR,SO-5296438,2024/04,A.KOK,2024-04-17
1800000181,2025-03-02,F2,NL01,NL01,10,00,Muller Industrietechnik GmbH,Muller Industrietechnik GmbH,Germany,Analytics Suite License (Annual),7238.04,EUR,SO-2073069,2025/03,S.BAKKER,2025-03-02
1800000182,2025-02-18,F2,NL01,NL01,10,00,Van den Berg Retail Group B.V.,Van den Berg Retail Group B.V.,Netherlands,Electric Motor EM-750,7448.3,EUR,SO-2917678,2025/02,R.JANSSEN,2025-02-18
