Voucher_No,Date,Account_Head,Party_Name,Debit_Amount,Credit_Amount,Narration,Cost_Center,Created_By
MFG/24-25/501624,2024-08-13 17:13:00,Packing & Trims Purchase,Surat Textiles Hub Pvt Ltd,90219.69,0.0,Bill passing for packing & trims purchase against PO ref #5032,Spinning Unit,accts_suresh
MFG/24-25/510860,2025-01-15 16:54:00,Raw Material - Cotton Yarn,Balaji Job Workers Ltd,10482.81,0.0,Bill passing for raw material - cotton yarn against PO ref #3889,Weaving Dept,finance_head
MFG/24-25/523730,2024-06-28 11:55:00,Direct Factory Wages,Modern Trims & Labels,52500.04,0.0,Bill passing for direct factory wages against PO ref #1380,Dyeing & Wet Processing,finance_head
MFG/24-25/510659,2024-07-13 12:39:00,Direct Factory Wages,Apex Button & Zippers,4202.81,0.0,Bill passing for direct factory wages against PO ref #4532,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/EST-701727,2025-03-29 18:16:00,Machinery Repairs & Spares,Royal Industrial Spares,86136.0,0.0,Estimated invoice booking ref #EST-86136,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/512421,2024-04-01 09:31:00,Sub-contracting Fabrication,Global Freight Forwarders,39834.55,0.0,Bill passing for sub-contracting fabrication against PO ref #6399,Spinning Unit,sr_accountant_gupta
MFG/24-25/EST-702946,2025-03-14 14:09:00,Machinery Repairs & Spares,Sub-contractor X (Unverified),99860.0,0.0,Estimated invoice booking ref #EST-99860,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/511103,2024-12-15 17:48:00,Boiler Fuel & Power Costs,Surat Textiles Hub Pvt Ltd,13201.96,0.0,Bill passing for boiler fuel & power costs against PO ref #4910,Weaving Dept,finance_head
MFG/24-25/501441,2025-03-16 15:23:00,Boiler Fuel & Power Costs,Balaji Job Workers Ltd,10698.49,0.0,Bill passing for boiler fuel & power costs against PO ref #7377,Dyeing & Wet Processing,accts_manish
MFG/24-25/511983,2024-10-26 10:38:00,Raw Material - Grey Fabric,Zenith Dyeing & Processing,2732.76,0.0,Bill passing for raw material - grey fabric against PO ref #8995,Stitching Unit 1,finance_head
MFG/24-25/509412,2025-01-15 09:42:00,Finished Goods Domestic Sales,Overseas Buyer Corp (USA),0.0,15445.26,Bill passing for finished goods domestic sales against PO ref #1060,Weaving Dept,works_mgr_patel
MFG/24-25/DUP-801228,2024-11-03 13:23:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,228346.18,0.0,Purchase bill passed against invoice ref INV-SURAT-8613 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/525716,2024-09-13 18:34:00,Export Sales (Apparel),Trends Retail India,0.0,2862.28,Bill passing for export sales (apparel) against PO ref #3940,Dyeing & Wet Processing,accts_suresh
MFG/24-25/SPL-601239,2025-03-26 14:40:00,Sub-contracting Fabrication,Shree Ganesh Embroidery,49856.73,0.0,Job work voucher below limit clearance - Batch #505,Stitching Unit 1,accts_manish
MFG/24-25/514675,2024-04-18 17:29:00,Sub-contracting Fabrication,Modern Trims & Labels,238664.72,0.0,Bill passing for sub-contracting fabrication against PO ref #1070,Dyeing & Wet Processing,accts_manish
MFG/24-25/509742,2024-10-14 16:43:00,Export Sales (Apparel),Overseas Buyer Corp (USA),0.0,4381.86,Bill passing for export sales (apparel) against PO ref #2704,Dyeing & Wet Processing,finance_head
MFG/24-25/503290,2025-03-01 09:52:00,Dyeing & Printing Charges,Global Freight Forwarders,5462.69,0.0,Bill passing for dyeing & printing charges against PO ref #8826,Spinning Unit,accts_manish
MFG/24-25/SPL-603055,2024-09-12 16:07:00,Sub-contracting Fabrication,Balaji Job Workers Ltd,49329.21,0.0,Job work voucher below limit clearance - Batch #958,Stitching Unit 2,accts_manish
MFG/24-25/SPL-602600,2024-10-27 16:31:00,Direct Factory Wages,Apex Button & Zippers,49281.41,0.0,Job work voucher below limit clearance - Batch #950,Stitching Unit 1,accts_manish
MFG/24-25/SPL-604019,2025-02-22 13:08:00,Sub-contracting Fabrication,Shree Ganesh Embroidery,48625.76,0.0,Job work voucher below limit clearance - Batch #227,Stitching Unit 1,accts_manish
MFG/24-25/516830,2024-09-09 13:10:00,Sub-contracting Fabrication,Om Sai Labour Contractors,13639.16,0.0,Bill passing for sub-contracting fabrication against PO ref #4184,Finishing & Packaging,accts_suresh
MFG/24-25/504357,2025-01-07 11:10:00,Packing & Trims Purchase,Royal Industrial Spares,2820.47,0.0,Bill passing for packing & trims purchase against PO ref #2098,Finishing & Packaging,accts_manish
MFG/24-25/511716,2024-07-28 13:43:00,Direct Factory Wages,Balaji Job Workers Ltd,52415.0,0.0,Bill passing for direct factory wages against PO ref #3750,Export Division,finance_head
MFG/24-25/SPL-602004,2024-10-09 10:40:00,Direct Factory Wages,Om Sai Labour Contractors,49046.42,0.0,Job work voucher below limit clearance - Batch #282,Stitching Unit 1,accts_manish
MFG/24-25/517428,2025-03-10 17:56:00,Export Sales (Apparel),Trends Retail India,0.0,75558.44,Bill passing for export sales (apparel) against PO ref #5044,Stitching Unit 1,accts_suresh
MFG/24-25/515475,2024-05-02 10:40:00,Dyeing & Printing Charges,Global Freight Forwarders,12763.86,0.0,Bill passing for dyeing & printing charges against PO ref #3993,Export Division,accts_manish
MFG/24-25/SPL-604119,2024-12-13 13:26:00,Sub-contracting Fabrication,Balaji Job Workers Ltd,49338.16,0.0,Job work voucher below limit clearance - Batch #911,Stitching Unit 1,accts_manish
MFG/24-25/508764,2024-12-06 09:05:00,Dyeing & Printing Charges,Global Freight Forwarders,9633.05,0.0,Bill passing for dyeing & printing charges against PO ref #3054,Weaving Dept,finance_head
MFG/24-25/514975,2024-09-03 18:37:00,Dyeing & Printing Charges,Balaji Job Workers Ltd,4452.14,0.0,Bill passing for dyeing & printing charges against PO ref #7661,Dyeing & Wet Processing,accts_manish
MFG/24-25/DUP-801622,2024-05-17 15:10:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,270636.63,0.0,Purchase bill passed against invoice ref INV-SURAT-8810 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/EST-702812,2024-04-29 18:24:00,Machinery Repairs & Spares,Royal Industrial Spares,854060.0,0.0,Estimated invoice booking ref #EST-85406,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/504224,2024-06-27 10:38:00,Raw Material - Grey Fabric,Apex Button & Zippers,5529.59,0.0,Bill passing for raw material - grey fabric against PO ref #5888,Weaving Dept,finance_head
MFG/24-25/500770,2024-07-16 14:13:00,Sub-contracting Fabrication,Royal Industrial Spares,2764.4,0.0,Bill passing for sub-contracting fabrication against PO ref #6985,Spinning Unit,sr_accountant_gupta
MFG/24-25/522282,2025-01-04 18:07:00,Raw Material - Cotton Yarn,Global Freight Forwarders,7246.03,0.0,Bill passing for raw material - cotton yarn against PO ref #3017,Spinning Unit,accts_manish
MFG/24-25/523076,2024-12-27 11:21:00,Dyeing & Printing Charges,K-Tex Processing Mills,53432.26,0.0,Bill passing for dyeing & printing charges against PO ref #3057,Stitching Unit 1,finance_head
MFG/24-25/502492,2024-09-01 09:05:00,Raw Material - Cotton Yarn,K-Tex Processing Mills,3356.77,0.0,Bill passing for raw material - cotton yarn against PO ref #9253,Finishing & Packaging,finance_head
MFG/24-25/505970,2024-12-14 14:58:00,Finished Goods Domestic Sales,Overseas Buyer Corp (USA),0.0,44282.31,Bill passing for finished goods domestic sales against PO ref #8640,Export Division,accts_suresh
MFG/24-25/512352,2024-06-06 10:27:00,Raw Material - Cotton Yarn,Zenith Dyeing & Processing,63423.06,0.0,Bill passing for raw material - cotton yarn against PO ref #7643,Weaving Dept,works_mgr_patel
MFG/24-25/525830,2024-09-24 13:20:00,Export Sales (Apparel),Lifestyle Garments Ltd,0.0,13586.12,Bill passing for export sales (apparel) against PO ref #3589,Stitching Unit 2,sr_accountant_gupta
MFG/24-25/517432,2025-01-31 17:08:00,Embroidery & Job Work Charges,K-Tex Processing Mills,3495.9,0.0,Bill passing for embroidery & job work charges against PO ref #8479,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/508648,2025-03-04 09:43:00,Export Sales (Apparel),Overseas Buyer Corp (USA),0.0,11390.57,Bill passing for export sales (apparel) against PO ref #6663,Stitching Unit 1,accts_suresh
MFG/24-25/SPL-603930,2024-12-17 14:26:00,Sub-contracting Fabrication,Shree Ganesh Embroidery,48507.56,0.0,Job work voucher below limit clearance - Batch #786,Stitching Unit 1,accts_manish
MFG/24-25/500407,2024-05-31 14:09:00,Dyeing & Printing Charges,Modern Trims & Labels,1106.26,0.0,Bill passing for dyeing & printing charges against PO ref #5955,Export Division,works_mgr_patel
MFG/24-25/EST-701702,2025-01-06 12:19:00,Dyeing & Printing Charges,Sub-contractor X (Unverified),799070.0,0.0,Estimated invoice booking ref #EST-79907,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/517908,2024-11-25 14:29:00,Export Sales (Apparel),Lifestyle Garments Ltd,0.0,17239.9,Bill passing for export sales (apparel) against PO ref #5443,Stitching Unit 1,accts_suresh
MFG/24-25/518169,2024-05-22 15:28:00,Embroidery & Job Work Charges,Zenith Dyeing & Processing,3175.1,0.0,Bill passing for embroidery & job work charges against PO ref #5491,Spinning Unit,sr_accountant_gupta
MFG/24-25/517969,2025-01-11 17:08:00,Finished Goods Domestic Sales,Euro Fashion Brands,0.0,17092.04,Bill passing for finished goods domestic sales against PO ref #5003,Finishing & Packaging,accts_manish
MFG/24-25/508858,2024-12-18 19:22:00,Packing & Trims Purchase,Tirupur Spinning Mills,34400.06,0.0,Bill passing for packing & trims purchase against PO ref #6160,Spinning Unit,works_mgr_patel
MFG/24-25/EST-701890,2025-02-10 17:10:00,Dyeing & Printing Charges,Zenith Dyeing & Processing,736790.0,0.0,Estimated invoice booking ref #EST-73679,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/526159,2025-01-12 11:10:00,Export Freight & Clearing,Tirupur Spinning Mills,4877.24,0.0,Bill passing for export freight & clearing against PO ref #2136,Finishing & Packaging,accts_suresh
MFG/24-25/522127,2024-09-25 17:54:00,Packing & Trims Purchase,Shree Ganesh Embroidery,8894.61,0.0,Bill passing for packing & trims purchase against PO ref #2178,Finishing & Packaging,sr_accountant_gupta
MFG/24-25/DUP-800692,2024-10-02 17:01:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,252231.48,0.0,Purchase bill passed against invoice ref INV-SURAT-8345 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/510321,2025-03-30 16:48:00,Packing & Trims Purchase,Global Freight Forwarders,53421.41,0.0,Bill passing for packing & trims purchase against PO ref #9674,Weaving Dept,finance_head
MFG/24-25/515841,2024-10-14 16:22:00,Raw Material - Cotton Yarn,Balaji Job Workers Ltd,3720.23,0.0,Bill passing for raw material - cotton yarn against PO ref #1402,Dyeing & Wet Processing,sr_accountant_gupta
MFG/24-25/SPL-601770,2025-01-10 11:44:00,Sub-contracting Fabrication,Om Sai Labour Contractors,49797.21,0.0,Job work voucher below limit clearance - Batch #601,Stitching Unit 1,accts_manish
MFG/24-25/507953,2024-06-15 19:53:00,Machinery Repairs & Spares,Vardhman Yarns & Threads,270596.42,0.0,Bill passing for machinery repairs & spares against PO ref #4073,Stitching Unit 2,accts_manish
MFG/24-25/518830,2024-07-02 14:47:00,Dyeing & Printing Charges,Modern Trims & Labels,11934.84,0.0,Bill passing for dyeing & printing charges against PO ref #2280,Finishing & Packaging,sr_accountant_gupta
MFG/24-25/507233,2024-08-10 10:29:00,Boiler Fuel & Power Costs,K-Tex Processing Mills,31223.45,0.0,Bill passing for boiler fuel & power costs against PO ref #5242,Spinning Unit,finance_head
MFG/24-25/EST-700769,2024-12-14 12:59:00,Dyeing & Printing Charges,Royal Industrial Spares,710070.0,0.0,Estimated invoice booking ref #EST-71007,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/502172,2025-02-28 18:09:00,Raw Material - Cotton Yarn,Surat Textiles Hub Pvt Ltd,12731.47,0.0,Bill passing for raw material - cotton yarn against PO ref #2103,Stitching Unit 2,sr_accountant_gupta
MFG/24-25/501784,2024-09-18 19:53:00,Boiler Fuel & Power Costs,Om Sai Labour Contractors,4634.47,0.0,Bill passing for boiler fuel & power costs against PO ref #6717,Export Division,sr_accountant_gupta
MFG/24-25/506417,2025-03-16 12:56:00,Raw Material - Grey Fabric,Om Sai Labour Contractors,3101.16,0.0,Bill passing for raw material - grey fabric against PO ref #3931,Export Division,finance_head
MFG/24-25/504729,2024-12-25 11:25:00,Direct Factory Wages,Om Sai Labour Contractors,60400.63,0.0,Bill passing for direct factory wages against PO ref #9211,Stitching Unit 2,sr_accountant_gupta
MFG/24-25/513999,2024-04-16 18:44:00,Packing & Trims Purchase,SuperTech Boiler Solutions,19595.17,0.0,Bill passing for packing & trims purchase against PO ref #5679,Stitching Unit 2,accts_suresh
MFG/24-25/EST-702983,2024-12-17 15:32:00,Machinery Repairs & Spares,Zenith Dyeing & Processing,85973.0,0.0,Estimated invoice booking ref #EST-85973,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/505691,2024-09-04 12:22:00,Finished Goods Domestic Sales,Lifestyle Garments Ltd,0.0,5112.35,Bill passing for finished goods domestic sales against PO ref #8702,Stitching Unit 2,sr_accountant_gupta
MFG/24-25/524079,2025-02-26 13:32:00,Raw Material - Cotton Yarn,Apex Button & Zippers,8291.47,0.0,Bill passing for raw material - cotton yarn against PO ref #1200,Stitching Unit 2,works_mgr_patel
MFG/24-25/EST-700847,2024-11-14 13:47:00,Machinery Repairs & Spares,Sub-contractor X (Unverified),89353.0,0.0,Estimated invoice booking ref #EST-89353,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/514031,2024-10-31 17:09:00,Raw Material - Grey Fabric,Shree Ganesh Embroidery,691.42,0.0,Bill passing for raw material - grey fabric against PO ref #6853,Export Division,accts_suresh
MFG/24-25/EST-702358,2024-08-03 10:43:00,Machinery Repairs & Spares,Royal Industrial Spares,89361.0,0.0,Estimated invoice booking ref #EST-89361,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/522852,2025-02-17 18:58:00,Sub-contracting Fabrication,SuperTech Boiler Solutions,585.74,0.0,Bill passing for sub-contracting fabrication against PO ref #1122,Spinning Unit,works_mgr_patel
MFG/24-25/505884,2024-04-01 13:53:00,Packing & Trims Purchase,SuperTech Boiler Solutions,2963.17,0.0,Bill passing for packing & trims purchase against PO ref #4743,Dyeing & Wet Processing,finance_head
MFG/24-25/502355,2024-07-07 17:33:00,Machinery Repairs & Spares,Om Sai Labour Contractors,69191.29,0.0,Bill passing for machinery repairs & spares against PO ref #9942,Finishing & Packaging,finance_head
MFG/24-25/511423,2025-01-20 18:54:00,Export Sales (Apparel),Trends Retail India,0.0,1054306.7,Bill passing for export sales (apparel) against PO ref #4060,Spinning Unit,sr_accountant_gupta
MFG/24-25/500362,2024-12-09 16:33:00,Raw Material - Cotton Yarn,Apex Button & Zippers,4172.93,0.0,Bill passing for raw material - cotton yarn against PO ref #8265,Finishing & Packaging,accts_manish
MFG/24-25/EST-700900,2025-03-06 12:24:00,Dyeing & Printing Charges,Sub-contractor X (Unverified),737530.0,0.0,Estimated invoice booking ref #EST-73753,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/EST-700869,2024-07-18 10:56:00,Machinery Repairs & Spares,Zenith Dyeing & Processing,89345.0,0.0,Estimated invoice booking ref #EST-89345,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/523739,2025-02-10 18:23:00,Raw Material - Cotton Yarn,Modern Trims & Labels,3028.12,0.0,Bill passing for raw material - cotton yarn against PO ref #3905,Stitching Unit 1,finance_head
MFG/24-25/503181,2024-10-30 13:31:00,Packing & Trims Purchase,Surat Textiles Hub Pvt Ltd,9857.52,0.0,Bill passing for packing & trims purchase against PO ref #3181,Finishing & Packaging,sr_accountant_gupta
MFG/24-25/505840,2025-03-08 09:38:00,Packing & Trims Purchase,Modern Trims & Labels,16107.82,0.0,Bill passing for packing & trims purchase against PO ref #3291,Stitching Unit 2,sr_accountant_gupta
MFG/24-25/EST-702777,2024-04-18 16:52:00,Machinery Repairs & Spares,Royal Industrial Spares,980880.0,0.0,Estimated invoice booking ref #EST-98088,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/SPL-600005,2024-09-16 16:16:00,Sub-contracting Fabrication,Shree Ganesh Embroidery,48735.09,0.0,Job work voucher below limit clearance - Batch #332,Stitching Unit 1,accts_manish
MFG/24-25/517641,2024-09-29 15:27:00,Boiler Fuel & Power Costs,Vardhman Yarns & Threads,2287.79,0.0,Bill passing for boiler fuel & power costs against PO ref #2487,Finishing & Packaging,works_mgr_patel
MFG/24-25/SPL-603960,2024-11-01 15:05:00,Direct Factory Wages,Shree Ganesh Embroidery,48791.72,0.0,Job work voucher below limit clearance - Batch #483,Stitching Unit 2,accts_manish
MFG/24-25/520833,2025-03-27 17:57:00,Packing & Trims Purchase,Vardhman Yarns & Threads,60527.24,0.0,Bill passing for packing & trims purchase against PO ref #9283,Dyeing & Wet Processing,accts_suresh
MFG/24-25/DUP-800401,2024-06-02 12:22:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,296360.55,0.0,Purchase bill passed against invoice ref INV-SURAT-8200 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/525607,2024-10-26 09:16:00,Direct Factory Wages,Global Freight Forwarders,12865.51,0.0,Bill passing for direct factory wages against PO ref #6378,Dyeing & Wet Processing,finance_head
MFG/24-25/510219,2024-07-05 11:58:00,Export Freight & Clearing,Vardhman Yarns & Threads,4146.47,0.0,Bill passing for export freight & clearing against PO ref #6703,Stitching Unit 1,works_mgr_patel
MFG/24-25/510901,2025-01-17 12:43:00,Raw Material - Grey Fabric,Balaji Job Workers Ltd,2265.36,0.0,Bill passing for raw material - grey fabric against PO ref #4698,Weaving Dept,sr_accountant_gupta
MFG/24-25/DUP-800116,2024-11-03 11:19:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,427593.73,0.0,Purchase bill passed against invoice ref INV-SURAT-8057 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/519567,2025-01-28 12:56:00,Packing & Trims Purchase,SuperTech Boiler Solutions,8845.23,0.0,Bill passing for packing & trims purchase against PO ref #4780,Export Division,accts_suresh
MFG/24-25/511749,2024-07-13 16:40:00,Machinery Repairs & Spares,Royal Industrial Spares,32251.61,0.0,Bill passing for machinery repairs & spares against PO ref #8230,Finishing & Packaging,finance_head
MFG/24-25/504064,2024-12-09 19:03:00,Direct Factory Wages,Apex Button & Zippers,1647.59,0.0,Bill passing for direct factory wages against PO ref #3326,Finishing & Packaging,accts_manish
MFG/24-25/SPL-601254,2025-03-05 12:18:00,Embroidery & Job Work Charges,Shree Ganesh Embroidery,48503.05,0.0,Job work voucher below limit clearance - Batch #497,Stitching Unit 2,accts_manish
MFG/24-25/506458,2024-06-04 10:04:00,Raw Material - Cotton Yarn,Vardhman Yarns & Threads,6611.86,0.0,Bill passing for raw material - cotton yarn against PO ref #1916,Dyeing & Wet Processing,sr_accountant_gupta
MFG/24-25/500397,2024-08-05 11:30:00,Sub-contracting Fabrication,Vardhman Yarns & Threads,54252.43,0.0,Bill passing for sub-contracting fabrication against PO ref #4765,Finishing & Packaging,accts_manish
MFG/24-25/525604,2024-12-10 13:22:00,Export Sales (Apparel),Overseas Buyer Corp (USA),0.0,51442.01,Bill passing for export sales (apparel) against PO ref #9400,Stitching Unit 2,finance_head
MFG/24-25/DUP-801200,2024-11-09 13:14:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,285598.14,0.0,Purchase bill passed against invoice ref INV-SURAT-8599 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/523312,2024-09-15 11:37:00,Raw Material - Cotton Yarn,Zenith Dyeing & Processing,19694.02,0.0,Bill passing for raw material - cotton yarn against PO ref #2254,Spinning Unit,works_mgr_patel
MFG/24-25/506525,2024-08-06 16:07:00,Export Sales (Apparel),Lifestyle Garments Ltd,0.0,24019.93,Bill passing for export sales (apparel) against PO ref #1685,Weaving Dept,accts_manish
MFG/24-25/523226,2025-02-11 17:43:00,Machinery Repairs & Spares,Royal Industrial Spares,3248.14,0.0,Bill passing for machinery repairs & spares against PO ref #7153,Export Division,sr_accountant_gupta
MFG/24-25/521878,2025-02-04 15:57:00,Raw Material - Cotton Yarn,SuperTech Boiler Solutions,12885.37,0.0,Bill passing for raw material - cotton yarn against PO ref #2015,Dyeing & Wet Processing,sr_accountant_gupta
MFG/24-25/DUP-800600,2024-09-12 12:32:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,361727.4,0.0,Purchase bill passed against invoice ref INV-SURAT-8299 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/DUP-800752,2024-07-10 16:19:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,133048.57,0.0,Purchase bill passed against invoice ref INV-SURAT-8375 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/504632,2024-09-05 12:08:00,Finished Goods Domestic Sales,Trends Retail India,0.0,14808.79,Bill passing for finished goods domestic sales against PO ref #3178,Finishing & Packaging,accts_manish
MFG/24-25/SPL-602547,2024-07-10 10:24:00,Direct Factory Wages,Apex Button & Zippers,49175.9,0.0,Job work voucher below limit clearance - Batch #581,Stitching Unit 1,accts_manish
MFG/24-25/EST-703496,2024-07-30 17:02:00,Machinery Repairs & Spares,Sub-contractor X (Unverified),816670.0,0.0,Estimated invoice booking ref #EST-81667,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/EST-702726,2024-05-07 17:24:00,Machinery Repairs & Spares,Zenith Dyeing & Processing,978340.0,0.0,Estimated invoice booking ref #EST-97834,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/501306,2024-08-31 17:38:00,Packing & Trims Purchase,Modern Trims & Labels,12887.41,0.0,Bill passing for packing & trims purchase against PO ref #3080,Stitching Unit 2,finance_head
MFG/24-25/507427,2025-02-12 09:25:00,Raw Material - Grey Fabric,Modern Trims & Labels,1546.98,0.0,Bill passing for raw material - grey fabric against PO ref #4821,Stitching Unit 2,sr_accountant_gupta
MFG/24-25/505572,2024-07-15 12:49:00,Packing & Trims Purchase,Tirupur Spinning Mills,11121.18,0.0,Bill passing for packing & trims purchase against PO ref #2264,Stitching Unit 1,works_mgr_patel
MFG/24-25/DUP-801072,2024-09-07 14:53:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,410808.57,0.0,Purchase bill passed against invoice ref INV-SURAT-8535 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/518199,2025-02-23 14:07:00,Export Sales (Apparel),Euro Fashion Brands,0.0,1478.93,Bill passing for export sales (apparel) against PO ref #9969,Dyeing & Wet Processing,sr_accountant_gupta
MFG/24-25/DUP-801656,2024-09-11 17:22:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,358854.7,0.0,Purchase bill passed against invoice ref INV-SURAT-8827 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/519504,2024-10-21 14:58:00,Raw Material - Grey Fabric,Balaji Job Workers Ltd,32915.75,0.0,Bill passing for raw material - grey fabric against PO ref #1076,Spinning Unit,finance_head
MFG/24-25/517348,2024-11-29 10:44:00,Raw Material - Grey Fabric,Star Export Logistics,48254.93,0.0,Bill passing for raw material - grey fabric against PO ref #4745,Dyeing & Wet Processing,accts_manish
MFG/24-25/516478,2024-11-01 11:27:00,Raw Material - Grey Fabric,Shree Ganesh Embroidery,6746.13,0.0,Bill passing for raw material - grey fabric against PO ref #4974,Finishing & Packaging,accts_manish
MFG/24-25/522859,2024-12-25 17:41:00,Embroidery & Job Work Charges,Om Sai Labour Contractors,11904.19,0.0,Bill passing for embroidery & job work charges against PO ref #8006,Finishing & Packaging,sr_accountant_gupta
MFG/24-25/515154,2024-06-14 15:04:00,Dyeing & Printing Charges,SuperTech Boiler Solutions,10805.02,0.0,Bill passing for dyeing & printing charges against PO ref #6238,Stitching Unit 2,accts_manish
MFG/24-25/519133,2024-09-27 12:08:00,Embroidery & Job Work Charges,Om Sai Labour Contractors,2366.55,0.0,Bill passing for embroidery & job work charges against PO ref #4932,Dyeing & Wet Processing,accts_suresh
MFG/24-25/510424,2024-11-04 14:38:00,Sub-contracting Fabrication,K-Tex Processing Mills,291445.14,0.0,Bill passing for sub-contracting fabrication against PO ref #4356,Weaving Dept,works_mgr_patel
MFG/24-25/SPL-601349,2025-01-21 12:59:00,Direct Factory Wages,Om Sai Labour Contractors,49551.07,0.0,Job work voucher below limit clearance - Batch #892,Stitching Unit 2,accts_manish
MFG/24-25/522238,2024-11-24 13:16:00,Embroidery & Job Work Charges,K-Tex Processing Mills,39649.11,0.0,Bill passing for embroidery & job work charges against PO ref #8310,Stitching Unit 2,finance_head
